NAME:INTPTLAT,INTPTLONG                                                                                                               
Lake County:39.205341,-106.350079                                                                                                                    
La Plata County:37.287367,-107.839718                                                                                                              
Larimer County:40.658093,-105.486764                                                                                                              
Las Animas County:37.318831,-104.04411                                                                                                             
Lincoln County:38.99374,-103.507555                                                                                                                
Logan County:40.728091,-103.090464                                                                                                                 
Mesa County:39.019524,-108.460571                                                                                                                 
Mineral County:37.549067,-107.003236                                                                                                                  
Moffat County:40.610864,-108.217154                                                                                                               
Montezuma County:37.338025,-108.595786                                                                                                            
Montrose County:38.407507,-108.266282                                                                                                               
Morgan County:40.263159,-103.81221                                                                                                                
Otero County:37.88417,-103.72126                                                                                                                   
Ouray County:38.154731,-107.78848                                                                                                                    
Park County:39.118914,-105.717648                                                                                                                 
Phillips County:40.594712,-102.345105                                                                                                                 
Pitkin County:39.217538,-106.916159                                                                                                                  
Prowers County:37.958181,-102.392161                                                                                                               
Pueblo County:38.170658,-104.489892                                                                                                               
Rio Blanco County:39.972622,-108.200716                                                                                                              
Rio Grande County:37.485853,-106.453128                                                                                                                
Routt County:40.483664,-106.987702                                                                                                                  
Saguache County:38.031651,-106.234666                                                                                                                
San Juan County:37.781049,-107.670257                                                                                                                
San Miguel County:38.009319,-108.427263                                                                                                             
Sedgwick County:40.871568,-102.355358                                                                                                                
Summit County:39.621023,-106.137555                                                                                                                 
